Username	Machine	Creation_date
bsekp	ARC1	2014-05-29 07:51:01.0
bsekp	ARC2	2014-06-17 07:50:22.0
bsekp	ARC3	2017-08-09 14:29:29.0
bsgr	ARC1	2011-11-01 13:56:18.76
bsgr	ARC2	2014-01-16 08:18:17.443
bsgt	ARC1	2010-03-05 14:16:48.25
bsgt	ARC2	2014-01-16 08:19:04.553
bshcf	ARC1	2011-04-18 16:22:50.0
bshs	ARC1	2016-10-17 15:27:12.0
bshs	ARC2	2016-10-17 15:27:19.0
bshs	ARC3	2017-05-09 10:11:35.0
bsib	ARC1	2012-06-29 17:36:42.0
bsid	ARC2	2017-08-31 09:57:05.0
bsid	ARC3	2017-08-31 09:56:54.0
bsit	ARC2	2017-10-17 11:35:51.0
bsit	ARC3	2017-10-17 11:35:46.0
bsit	MARC1	2017-10-18 15:05:52.0
bsjc	ARC2	2017-02-20 17:10:45.253
bsjfr	ARC1	2010-11-16 13:56:00.82
bsjpd	ARC1	2010-08-23 14:10:20.0
bsjpd	ARC2	2015-05-06 09:47:10.0
bsjss	ARC2	2017-10-17 10:55:13.0
bsjss	ARC3	2017-10-17 10:55:20.0
bsjve	ARC2	2018-02-12 11:36:16.153
bsjve	ARC3	2018-02-12 11:36:19.75
bsjw	ARC2	2018-01-11 15:11:30.557
bsjw	ARC3	2018-01-11 15:11:34.75
bskcd	ARC1	2012-06-29 17:36:23.0
bsknb	ARC1	2013-09-13 15:18:57.0
bsknb	ARC2	2016-09-20 12:01:09.0
bsknb	MARC1	2016-09-21 17:46:30.0
bskp	ARC1	2011-03-23 13:35:10.75
bskp	ARC2	2014-01-13 12:55:47.407
bslpo	ARC1	2016-10-14 11:46:04.0
bslpo	ARC2	2016-10-14 11:46:07.0
bslsm	ARC2	2017-02-22 14:28:21.57
bslz	ARC1	2014-10-03 17:27:58.0
bslz	ARC2	2016-07-20 16:54:28.0
bslz	MARC1	2016-06-29 10:09:57.0
bsma	ARC1	2016-10-04 15:16:52.0
bsma	ARC2	2016-10-04 15:16:55.0
bsmg	ARC1	2014-01-10 11:45:10.95
bsmg	ARC2	2014-01-16 08:19:31.56
bsnas	ARC1	2014-01-30 17:30:02.083
bsnas	ARC2	2014-03-14 10:31:28.227
bsoc	ARC2	2018-03-28 10:12:59.0
bsoc	ARC3	2018-03-28 10:13:13.0
bsokk	ARC1	2013-11-08 12:34:29.607
bsokk	ARC2	2014-01-08 17:00:38.23
bsplr	ARC1	2013-10-01 15:53:37.0
bspm	ARC1	2016-10-14 16:19:42.0
bspm	ARC2	2016-10-14 16:19:48.0
bspm	ARC3	2018-04-13 09:51:19.0
bspm	MARC1	2016-10-17 11:32:47.0
bspr	ARC1	2010-07-09 13:34:16.0
bsrmw	ARC1	2011-10-20 14:19:51.0
bsrt	ARC1	2012-06-29 17:34:55.0
bsrt	ARC2	2015-08-12 17:38:24.0
bsru	ARC2	2018-05-09 08:07:52.0
