Username	Machine	Username_status	lapse_date	status	Dept	Faculty
texdjb	ARC2	a	n/a	Staff	CEN	Faculty of Engineering
texeaw	ARC2	a	n/a	Staff	TEX	Faculty Performance, Visual Arts & Comms
texeaw	ARC1	l	2017-06-16 14:58:31.0	Staff	TEX	Faculty Performance, Visual Arts & Comms
tra6sdc	MARC1	a	n/a	Staff	GEO	Faculty of Environment
tra6sdc	ARC3	a	n/a	Staff	GEO	Faculty of Environment
tra6sdc	ARC2	a	n/a	Staff	GEO	Faculty of Environment
traccai	ARC2	a	n/a	Staff	TRA	Faculty of Environment
traccai	ARC3	a	n/a	Staff	TRA	Faculty of Environment
tracwf	ARC2	a	n/a	Staff	TRA	Faculty of Environment
tracwf	ARC3	a	n/a	Staff	TRA	Faculty of Environment
tracwf	MARC1	a	n/a	Staff	TRA	Faculty of Environment
tracwf	ARC1	l	2017-06-16 14:58:31.0	Staff	TRA	Faculty of Environment
tradpa	ARC3	a	n/a	Staff	TRA	Faculty of Environment
tradpa	ARC2	a	n/a	Staff	TRA	Faculty of Environment
tragma	ARC2	a	n/a	Staff	TRA	Faculty of Environment
tragma	ARC1	l	2017-06-16 14:58:31.0	Staff	TRA	Faculty of Environment
traip	ARC2	a	n/a	Staff	TRA	Faculty of Environment
tralp	ARC2	d	2017-05-17 10:41:44.0	Staff	TRA	Faculty of Environment
tralp	ARC1	d	2017-05-17 10:41:44.0	Staff	TRA	Faculty of Environment
trarc	ARC2	a	n/a	Staff	TRA	Faculty of Environment
trarc	ARC1	l	2017-06-16 14:58:31.0	Staff	TRA	Faculty of Environment
tratd	ARC2	a	n/a	Staff	TRA	Faculty of Environment
tratd	ARC1	l	2017-06-16 14:58:31.0	Staff	TRA	Faculty of Environment
ts11ass	ARC1	l	2017-06-16 14:58:31.0	Recent Alumni	TRA	Faculty of Environment
ts11ass	ARC2	l	2017-11-23 00:00:00.0	Recent Alumni	TRA	Faculty of Environment
ts12fc	ARC2	l	2018-08-01 00:00:00.0	Recent Alumni	TRA	Faculty of Environment
ts12fc	ARC3	l	2018-08-01 00:00:00.0	Recent Alumni	TRA	Faculty of Environment
ts12fc	ARC1	l	2017-06-16 14:58:31.0	Recent Alumni	TRA	Faculty of Environment
ts12lkjt	ARC1	l	2017-06-16 14:58:31.0	P/G	TRA	Faculty of Environment
ts12lkjt	ARC3	a	n/a	P/G	TRA	Faculty of Environment
ts12lkjt	ARC2	a	n/a	P/G	TRA	Faculty of Environment
ts16ld	ARC2	a	n/a	P/G	TRA	Faculty of Environment
ts16ld	ARC3	a	n/a	P/G	TRA	Faculty of Environment
tsfs	ARC2	a	n/a	P/G	TRA	Faculty of Environment
tsfs	ARC3	a	n/a	P/G	TRA	Faculty of Environment
tsjy	ARC1	l	2017-06-16 14:58:31.0	P/G	TRA	Faculty of Environment
tsjy	ARC2	a	n/a	P/G	TRA	Faculty of Environment
tstoh	ARC2	a	n/a	P/G	TRA	Faculty of Environment
tstoh	ARC1	l	2017-06-16 14:58:31.0	P/G	TRA	Faculty of Environment
